loan_id,customer_name,phone,segment,monthly_income,loan_amount,outstanding,emi,tenure_months,current_dpd,missed_payments_3m
L00001,Zoya Bose,9325153947,salaried,45531.0,90000.0,49700.0,5600.0,18,0,0
L00002,Rohan Nair,9874988372,student,18097.0,38300.0,23819.0,2383.0,18,0,2
L00003,Rahul Bose,9888755274,salaried,32011.0,29800.0,22369.0,1854.0,18,70,2
L00004,Ananya Khan,9786748081,salaried,43187.0,90000.0,10643.0,33600.0,3,0,0
L00005,Rahul Sharma,9378614606,student,6760.0,11300.0,6101.0,4219.0,3,0,1
L00006,Arjun Patel,9621943984,salaried,29996.0,50700.0,25731.0,6309.0,9,0,0
L00007,Rahul Sharma,9280243746,salaried,51135.0,90000.0,83304.0,11200.0,9,0,0
L00008,Aarav Khan,9872114742,salaried,49695.0,32200.0,16706.0,2004.0,18,0,0
L00009,Priya Das,9176372598,student,18808.0,19500.0,9651.0,7280.0,3,0,1
L00010,Kabir Khan,9769963221,salaried,43528.0,85500.0,82430.0,10640.0,9,0,0
L00011,Sana Nair,9560378022,student,19041.0,18800.0,8987.0,3509.0,6,0,0
L00012,Rahul Das,9505663828,salaried,57711.0,90000.0,19966.0,16800.0,6,41,1
L00013,Sana Gupta,9242309650,salaried,57310.0,59300.0,15185.0,11069.0,6,8,0
L00014,Rohan Gupta,9776180929,salaried,45467.0,34000.0,4775.0,6347.0,6,35,1
L00015,Zoya Khan,9667971893,student,15282.0,15500.0,783.0,1447.0,12,0,1
L00016,Rohan Khan,9518142327,student,16787.0,26100.0,12015.0,3248.0,9,0,0
L00017,Kabir Nair,9435453680,salaried,49135.0,46200.0,36072.0,5749.0,9,0,0
L00018,Zoya Nair,9409434371,student,14425.0,12100.0,9036.0,1506.0,9,0,0
L00019,Rohan Khan,9533020890,salaried,60448.0,90000.0,7249.0,5600.0,18,0,0
L00020,Tara Khan,9335489423,salaried,58200.0,75700.0,44775.0,3533.0,24,0,0
L00021,Sana Gupta,9354125828,salaried,43413.0,60900.0,11971.0,5684.0,12,0,0
L00022,Ananya Gupta,9350332070,student,19318.0,12300.0,11611.0,1148.0,12,0,1
L00023,Dev Patel,9111411636,salaried,41171.0,57400.0,11996.0,3572.0,18,0,0
L00024,Ananya Das,9935063110,salaried,47607.0,55300.0,35685.0,3441.0,18,0,0
L00025,Aarav Rao,9312896404,salaried,42575.0,86300.0,31062.0,32219.0,3,0,1
L00026,Arjun Sharma,9248570741,student,6666.0,6800.0,4484.0,317.0,24,0,2
L00027,Zoya Rao,9236054504,salaried,48035.0,90000.0,39748.0,33600.0,3,0,0
L00028,Aarav Patel,9529068674,student,18998.0,53700.0,41438.0,6683.0,9,0,1
L00029,Ananya Nair,9394227509,student,14860.0,11100.0,2988.0,1036.0,12,0,0
L00030,Tara Das,9463503423,salaried,48737.0,37500.0,34144.0,4667.0,9,56,1
L00031,Sana Sharma,9179551211,salaried,40176.0,31700.0,16649.0,5917.0,6,0,0
L00032,Vikram Singh,9382300204,salaried,47929.0,90000.0,69146.0,4200.0,24,0,0
L00033,Arjun Das,9323821342,student,15723.0,12700.0,10887.0,4741.0,3,30,0
L00034,Kabir Singh,9152572941,student,21414.0,56300.0,56237.0,10509.0,6,0,0
L00035,Aarav Iyer,9482903242,salaried,39225.0,90000.0,23647.0,4200.0,24,45,1
L00036,Rohan Rao,9811026791,student,12650.0,32300.0,10418.0,2010.0,18,24,0
L00037,Meera Singh,9850236933,student,13622.0,24700.0,7111.0,9221.0,3,0,1
L00038,Vikram Nair,9561297620,salaried,19600.0,58600.0,17564.0,3646.0,18,0,0
L00039,Arjun Iyer,9403287956,student,12447.0,7600.0,4585.0,355.0,24,0,0
L00040,Arjun Gupta,9300062037,salaried,45349.0,68200.0,67780.0,25461.0,3,91,2
L00041,Divya Nair,9695844643,student,19214.0,25200.0,24967.0,3136.0,9,0,0
L00042,Divya Singh,9363376776,salaried,43589.0,90000.0,49539.0,11200.0,9,0,0
L00043,Arjun Das,9667581872,salaried,59570.0,90000.0,59137.0,33600.0,3,0,0
L00044,Rohan Iyer,9690124667,student,17571.0,44200.0,38320.0,8251.0,6,0,0
L00045,Rahul Patel,9945884879,salaried,49751.0,46100.0,43163.0,8605.0,6,32,1
L00046,Dev Gupta,9433315833,salaried,63737.0,90000.0,21930.0,16800.0,6,0,0
L00047,Priya Singh,9460644891,student,15476.0,27000.0,14907.0,3360.0,9,99,2
L00048,Vikram Sharma,9712615397,student,8676.0,15000.0,12618.0,1867.0,9,105,2
L00049,Priya Bose,9836034333,salaried,35965.0,90000.0,30424.0,16800.0,6,0,0
L00050,Zoya Singh,9522199779,student,13580.0,19700.0,9216.0,3677.0,6,0,0
L00051,Zoya Sharma,9813182589,student,13864.0,20700.0,20417.0,3864.0,6,110,2
L00052,Tara Patel,9419802942,student,11721.0,23000.0,22673.0,1431.0,18,96,2
L00053,Isha Gupta,9542173178,salaried,67049.0,55000.0,50094.0,10267.0,6,1,0
L00054,Meera Gupta,9549706822,salaried,40969.0,53400.0,43175.0,2492.0,24,0,0
L00055,Zoya Sharma,9734012458,salaried,67861.0,66700.0,20388.0,6225.0,12,0,1
L00056,Arjun Rao,9656512250,salaried,45427.0,34400.0,12205.0,2140.0,18,0,0
L00057,Meera Nair,9170433106,salaried,66044.0,90000.0,51293.0,8400.0,12,8,0
L00058,Meera Singh,9828158666,salaried,43880.0,86600.0,50465.0,16165.0,6,0,1
L00059,Aarav Rao,9782218973,student,14629.0,20400.0,10817.0,1904.0,12,0,0
L00060,Zoya Rao,9194096931,student,10093.0,15400.0,10084.0,2875.0,6,0,1
L00061,Dev Nair,9965649705,salaried,83146.0,90000.0,39412.0,33600.0,3,0,1
L00062,Ananya Iyer,9694648404,salaried,55215.0,90000.0,68554.0,16800.0,6,0,0
