application_id,applicant_name,dob,age,pan,bank_account,phone,email,monthly_income,requested_amount
A0001,Rohan Patel,2006-10-08,19,AAMAO0571F,82763798191,9362971988,user1@mail.example,25624.0,15800.0
A0002,Nikhil Das,2007-03-15,19,WNQFS1653Y,77788987283,9255272332,user2@mail.example,10792.0,53500.0
A0003,Sana Gupta,1998-01-27,28,CFXXF2425Z,76711395464,9812979566,user3@mail.example,29349.0,34400.0
A0004,Tara Sharma,2005-11-13,20,NSRPU1635G,71354206132,9140943598,user4@mail.example,32011.0,187500.0
A0005,Meera Patel,1995-04-28,31,DMABH2878V,58901832414,9917515890,user5@mail.example,24142.0,40400.0
A0006,Dev Singh,1999-03-02,27,ZIXVP5244U,40836094030,9542601250,user6@mail.example,30720.0,67100.0
A0007,Arjun Sharma,2004-04-28,22,CXEIW9804C,26187767461,9339265052,user7@mail.example,33153.0,123300.0
A0008,Arjun Patel,1998-05-11,28,LXEMN0179P,87736781756,9373171866,user8@mail.example,20229.0,44400.0
A0009,Nikhil Singh,2004-11-30,21,LSVRY0414V,46827045579,9831366303,user9@mail.example,14708.0,38000.0
A0010,Divya Gupta,2002-10-06,23,QYXPR5658Z,68518690536,9446755322,user10@mail.example,26009.0,27900.0
A0011,Zoya Khan,2000-05-12,26,ENWVK1402I,16145141266,9411377746,user11@mail.example,26100.0,68900.0
A0012,Rohan Nair,1997-11-30,28,XHLEW4752I,42479170071,9408603055,user12@mail.example,24826.0,15900.0
A0013,Meera Gupta,2004-11-29,21,CQLWY7112D,19037409812,9758926539,user13@mail.example,36885.0,63900.0
A0014,Divya Iyer,2001-11-14,24,QWZIC2096C,41907999228,9419196174,user14@mail.example,43530.0,239500.0
A0015,Zoya Patel,2005-11-27,20,QOLYE6864Y,75991267023,9759618440,user15@mail.example,24250.0,49600.0
A0016,Ananya Bose,2006-01-09,20,IOCJL7308M,40702819996,9866002510,user16@mail.example,34290.0,68200.0
A0017,Priya Gupta,2004-05-22,22,UMFQD2727X,71396860986,9877103484,user17@mail.example,36468.0,154500.0
A0018,Meera Nair,2002-11-03,23,WVHRC7645J,40836094030,9361386464,user18@mail.example,34418.0,184300.0
A0019,Divya Rao,1994-04-28,32,EYMER2776R,44647426686,9759406449,user19@mail.example,37427.0,79600.0
A0020,Zoya Nair,2002-02-11,24,YJJEV3594B,46907162383,9219383519,user20@mail.example,24497.0,63000.0
A0021,Divya Singh,2005-09-13,20,LXCGY1805C,55814220916,9343958919,user21@mail.example,34658.0,153600.0
A0022,Rohan Iyer,1994-01-07,32,TBZWY7021T,30555153924,9639557445,user22@mail.example,46220.0,224500.0
A0023,Kabir Nair,1999-03-31,27,DXXZQ5527E,72880975702,9954725117,user23@mail.example,35233.0,136600.0
A0024,Zoya Das,2006-06-07,20,DQWSK6346I,89407817254,9732921556,user24@mail.example,22421.0,33300.0
A0025,Divya Khan,2006-04-09,20,ANYAG0186K,83136698019,9485957843,user25@mail.example,33469.0,50000.0
